6.5	9.14	1a
9.14	14.6	1b
14.6	17.32	1c
17.32	20.8	1d
20.8	21.96	1e
21.96	23.96	2a
23.96	26.36	2b
26.36	29.52	2c
29.52	31.02	3a
31.02	32.88	3b
32.88	36.78	3c
36.78	39.28	4a
39.28	40.42	4b
40.42	44.16	4c
44.16	47.62	4d
47.62	52.16	4e
52.16	56.4	4f
56.4	57.6	4g
57.6	59.48	4h
59.48	61.5	5a
61.5	63.04	5b
63.04	66.26	5c
66.26	68.86	6a
68.86	70.76	6b
70.76	72.18	6c
72.18	74.4	7a
74.4	75.74	7b
75.74	79.1	7c
79.1	81.04	8a
81.04	82.58	8b
82.58	84.42	8c
84.42	86.36	8d
86.36	89.1	8e
89.1	91.32	9a
91.32	92.38	9b
92.38	93.5	9c
93.5	95.72	9d
95.72	99	9e
99	100.98	9f
100.98	103.02	9g
103.02	106.8	10a
106.8	108.82	10b
108.82	110.12	10c
110.12	112.7	11a
112.7	114.6	11b
114.6	117.7	12a
117.7	120.18	12b
120.18	122.98	13a
122.98	125.7	13b
125.7	127.36	14a
127.36	130.04	14b
130.04	132.52	14c
132.52	135.04	14d
135.04	137.66	14e
137.66	142.94	14f
142.94	146.62	s1
146.62	150.04	15a
150.04	151.94	15b
151.94	154.5	15c
154.5	157.34	15d
157.34	161.18	15e
161.18	162.58	16a
162.58	164.24	16b
164.24	165.56	16c
165.56	166.94	16d
166.94	168.06	16e
168.06	170.44	16f
170.44	172.92	17a
172.92	175.94	17b
175.94	178.48	17c
178.48	180.08	17d
180.08	181.9	17e
181.9	183.58	18a
183.58	185.04	18b
185.04	187.5	18c
187.5	189.68	19a
189.68	192.2	19b
192.2	194.94	19c
194.94	198.74	19d
198.74	202.2	20a
202.2	203.62	20b
203.62	204.46	20c
204.46	205.32	20d
205.32	207.58	20e
207.58	209.52	21a
209.52	211.12	21b
211.12	214.16	21c
214.16	216.46	22a
216.46	218.16	22b
218.16	220.66	23a
220.66	223.34	23b
223.34	225.1	24a
225.1	227.68	24b
227.68	229.16	24c
229.16	230.66	24d
230.66	232.22	25a
232.22	233.8	25b
233.8	235.58	25c
235.58	237.64	25d
237.64	239.14	26a
239.14	240.58	26b
240.58	242.98	26c
242.98	244.46	27a
244.46	245.88	27b
245.88	248.44	27c
248.44	249.96	27d
249.96	251.52	28a
251.52	253.28	28b
253.28	255.46	28c
255.46	257.82	29a
257.82	259.82	29b
259.82	263.4	29c
263.4	264.86	30a
264.86	266.42	30b
266.42	267.98	30c
267.98	269.76	31a
269.76	271.72	31b
271.72	273.46	31c
273.46	276.32	31d
276.32	279	32a
279	281.36	32b
281.36	283.46	32c
283.46	285.36	33a
285.36	286.9	33b
286.9	288.7	33c
288.7	290.1	33d
290.1	291.78	33e
291.78	293.4	33f
