3.34	5.64	s1
5.64	9.18	1a
9.18	11.42	1b
11.42	13.58	1c
13.58	15.22	1d
15.22	17.24	1e
17.24	19.94	2a
19.94	22.86	2b
22.86	25.96	3a
25.96	28.34	3b
28.34	29.46	3c
29.46	31.32	3d
31.32	34.96	4a
34.96	36.68	4b
36.68	38.24	4c
38.24	40.12	5a
40.12	42.32	5b
42.32	44.04	5c
44.04	45.02	5d
45.02	46.7	5e
46.7	51.48	6a
51.48	55.82	6b
55.82	59.02	7a
59.02	62.66	7b
62.66	65.44	8a
65.44	67.36	8b
67.36	71.8	8c
71.8	75.28	8d
75.28	79.06	8e
79.06	81.76	9a
81.76	85.54	9b
85.54	87.4	9c
87.4	89.84	9d
89.84	93.3	s2
93.3	98.06	10a
98.06	100.7	10b
100.7	104.76	10c
104.76	105.9	10d
105.9	107.44	10e
107.44	109.4	11a
109.4	110.88	11b
110.88	114.72	11c
114.72	117.54	12a
117.54	119.84	12b
119.84	122.98	12c
122.98	126	12d
126	128.02	12e
128.02	129.36	13a
129.36	131	13b
131	133.16	13c
133.16	135.62	13d
135.62	139.66	14a
139.66	143.38	14b
143.38	147.64	14c
147.64	151.24	14d
151.24	154.96	15a
154.96	158.2	15b
158.2	161.28	15c
161.28	163.36	15d
163.36	166.72	15e
166.72	169.98	s3
169.98	172.84	16a
172.84	175.32	16b
175.32	179.02	16c
179.02	180.9	16d
180.9	182.3	16e
182.3	185.84	17a
185.84	191.52	17b
191.52	193.88	17c
193.88	195.38	17d
195.38	199.18	17e
199.18	200.84	17f
